

TITLE = "DOM Intensity"
VARIABLES = "X", "Y", "Intensity"
ZONE I= 4 J= 4 DATAPACKING=BLOCK VARLOCATION=([3]=CELLCENTERED)
 0.000000000000000e+00  0.000000000000000e+00  0.000000000000000e+00  0.000000000000000e+00 
 2.500000000000000e-01  2.500000000000000e-01  2.500000000000000e-01  2.500000000000000e-01 
 5.000000000000000e-01  5.000000000000000e-01  5.000000000000000e-01  5.000000000000000e-01 
 7.500000000000000e-01  7.500000000000000e-01  7.500000000000000e-01  7.500000000000000e-01 
 0.000000000000000e+00  2.500000000000000e-01  5.000000000000000e-01  7.500000000000000e-01 
 0.000000000000000e+00  2.500000000000000e-01  5.000000000000000e-01  7.500000000000000e-01 
 0.000000000000000e+00  2.500000000000000e-01  5.000000000000000e-01  7.500000000000000e-01 
 0.000000000000000e+00  2.500000000000000e-01  5.000000000000000e-01  7.500000000000000e-01 
 3.086341390476096e+06  3.923139827796102e+06  3.923139827796102e+06  3.086341390476096e+06 
 5.076091589761338e+04  7.257645686529581e+05  7.257645686529581e+05  5.076091589761338e+04 
 2.750165305096867e+05  -2.082772804199401e+05  -2.082772804199401e+05  2.750165305096867e+05 
 -3.713235077518412e+04  -3.470316928276694e+04  -3.470316928276694e+04  -3.713235077518412e+04 
